# Common and well-known Solana programs for HackerDex
# Format: address,entity_name,category,risk_level,source_of_info,confidence_score,notes

# Core Solana Programs
11111111111111111111111111111111,System Program,Core Program,Low,Official Solana Docs,5,Solana core system program for creating accounts and transferring SOL
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,SPL Token Program,Token Program,Low,Official Solana Docs,5,Solana Program Library Token Program for managing tokens
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,Associated Token Account Program,Token Program,Low,Official Solana Docs,5,Solana Program Library Associated Token Account Program
MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr,SPL Memo Program,Core Program,Low,Official Solana Docs,5,Solana Program Library Memo Program for storing on-chain memos
ComputeBudget111111111111111111111111111111,Compute Budget Program,Core Program,Low,Official Solana Docs,5,Solana compute budget program for setting compute limits
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,Serum DEX v3,DEX,Low,Project Serum Docs,5,Serum Decentralized Exchange v3 program

# Jupiter (Aggregator)
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,Jupiter Aggregator v6,DEX Aggregator,Low,Jupiter Exchange Docs,5,Jupiter v6 main router program
JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,Jupiter Aggregator v2,DEX Aggregator,Low,Jupiter Exchange Docs,5,Jupiter v2 program (legacy)
JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Jupiter Aggregator v3,DEX Aggregator,Low,Jupiter Exchange Docs,5,Jupiter v3 program
JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,Jupiter Aggregator v4,DEX Aggregator,Low,Jupiter Exchange Docs,5,Jupiter v4 program

# MarginFi (M2)
mrgnFMdcVuF8M5SzvmE33dgJ65p8uJxfNsjhf6nyFpk,MarginFi (M2) Bank,Lending Protocol,Medium,MarginFi Docs,4,MarginFi Bank Program (M2) for lending and borrowing
MRGNBSZzULmY1D4WPX536Q5RoBKypXYYfP3NkTaGbhB,MarginFi (M2) Admin,Lending Protocol,Medium,MarginFi Docs,4,MarginFi Admin Program for governance

# Raydium
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium AMM Program,DEX,Low,Raydium Docs,5,Raydium Automated Market Maker Program
5quBtoiQqxF9Jv6KYKctB59NT3gtJD2Y65kdnB1Uev3h,Raydium Staking Program,Staking,Low,Raydium Docs,5,Raydium Liquidity Pool Staking Program

# Orca
9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,Orca Whirlpool,DEX,Low,Orca Docs,5,Orca Whirlpool DEX Program
DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,Orca Pool,DEX,Low,Orca Docs,5,Orca Constant Product Pool Program

# Magic Eden
